,Date,Price per unit,Price
0,2020-11-14,0.78,1.56
1,2020-12-28,0.88,0.88
2,2021-2-17,0.98,0.98
3,2021-3-22,0.57,0.57
4,2021-4-24,0.98,0.98
5,2021-5-30,0.98,0.98
6,2021-8-7,0.88,0.88
7,2021-8-27,0.58,0.58
