,Date,Price per unit,Price
0,2018-5-19,2.98,2.98
1,2018-8-11,4.68,4.68
2,2018-9-29,4.48,4.48
3,2018-11-25,2.49,4.98
4,2019-3-10,2.98,2.98
5,2019-4-13,2.98,2.98
6,2019-6-9,3.0,3.0
