,Date,Price per unit,Price
0,2019-7-20,10.48,10.48
1,2019-11-16,9.48,9.48
2,2019-11-24,10.48,10.48
3,2020-1-25,10.48,10.48
4,2020-2-2,10.48,10.48
5,2020-6-20,9.99,9.99
